acinar cell	alveolar epithelial cell	amniotic epithelial cell	astrocyte	blood vessel endothelial cell	bronchial epithelial cell	bronchial smooth muscle cell	cardiac fibroblast	cardiac myocyte	cd14+ monocyte derived endothelial progenitor cell	chondrocyte	ciliated epithelial cell	corneal epithelial cell	dendritic cell - monocyte immature derived	endothelial cell of hepatic sinusoid	endothelial cell of lymphatic vessel	enteric smooth muscle cell	epithelial cell of malassez	epithelial cell of prostate	fat cell	fibroblast of choroid plexus	fibroblast of gingiva	fibroblast of lymphatic vessel	fibroblast of periodontium	fibroblast of tunica adventitia of artery	gingival epithelial cell	hair follicle cell	hepatic stellate cell	immature langerhans cell	keratinocyte - epidermal	keratocyte	kidney epithelial cell	lens epithelial cell	lymphocyte of b lineage	macrophage	mammary epithelial cell	mast cell	melanocyte - light	mesenchymal precursor cell	mesenchymal somatic cell	mesenchymal stem cell - adipose	mesenchymal stem cell - amniotic membrane	mesenchymal stem cell - bone marrow	mesenchymal stem cell - hepatic	mesenchymal stem cell - umbilical	mesothelial cell	migratory langerhans cell	monocyte	multipotent cord blood unrestricted somatic stem cell	myoblast	natural killer cell	neuron	neuronal stem cell	neutrophil	osteoblast	pericyte cell	placental epithelial cell	preadipocyte	reticulocyte	retinal pigment epithelial cell	sensory epithelial cell	skeletal muscle cell	skin fibroblast	small airway epithelial cell	smooth muscle cell of prostate	smooth muscle cell of trachea	stromal cell	t cell	tendon cell	trabecular meshwork cell	tracheal epithelial cell	urothelial cell	vascular associated smooth muscle cell
malaria, falciparum	1	1	1	0.927468003604724	0.0440544938307569	1	1	1	0.999999971348684	3.1262790494585e-30	1	0.987699691722994	1	0.00181962649174468	4.56524892805088e-05	1	1	1	1	0.999811154884378	1	1	1	1	1	1	1	1	1	1	1	0.999074699377679	1	0.00250841696069499	0.328141841119904	1	0.999948461408962	1	1	1	1	1	1.75508654606609e-07	1	1	0.987699691722994	1	3.1262790494585e-30	1	0.963631234060563	3.85773045161781e-05	1	0.881798902957363	0.620175866101042	1	0.569200165900828	0.000182809327508906	1	0.000331050222560692	1	0.987699691722994	1	1	0.999958936791577	1	1	0.999999233223898	3.73795171355384e-86	1	1	1	1	1
meningococcal infections	1	1	1	0.999466660054238	0.939584942251138	1	1	1	0.999237039070422	0.0566800892483499	1	1	1	0.999683517060817	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.894323970702616	0.999999470699121	1	1	1	1	1	1	1	0.997085661208589	1	1	1	1	0.0566800892483499	1	1	0.999910099746	1	1	4.46954489998108e-10	1	1	1	1	0.985420429863581	1	1	0.999999358885854	1	0.35884824330232	1	1	1	0.999999999996496	1	1	1	1	1
mental disorders	1	0.999999118660709	0.999999999993629	4.60771227816407e-76	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.991729289475322	1	1	0.99999999550327	1	1	1	0.99999999550327	1	1	1.4872699902576e-190	0.616061861711829	1	1	0.999997609607923	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
metabolic syndrome x	1	1	1	0.999999998121748	0.0125475694210338	1	1	0.744931990944959	0.557159150185673	0.446786976529893	0.998838189066587	0.999995139831922	1	0.999999999163669	1.76141204480839e-07	1	1	0.370668966697194	1	1.6893574927972e-282	1	1	1	1	1	0.581711234921737	1	0.0221027685907369	1	0.999996154914895	1	0.237054695435672	1	1	0.977166264298705	1	0.999979649689574	0.9992774554635	0.999634637149302	0.999634637149302	0.550465886883636	1	0.999999999999984	0.150470406933723	1	0.999995139831922	1	0.446786976529893	1	0.650860656092973	0.99999999980638	1	1	0.999999999647791	0.99999856854488	0.106270271420294	1	2.1621873052726e-16	1	1	0.999995139831922	0.993180638831551	1	1	0.0441190127402248	1	0.999106329911148	1	1	1	1	1	0.180387260607994
migraine disorders	1	1	1	0.999989776073961	0.329599950621458	1	1	1	1	0.999999961851055	1	1	1	1	0.999999998885939	1	1	1	1	0.99999758575013	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.373903844066773	0.999697836022061	1	1	1	1	1	1	1	1	1	0.999999961851055	1	1	0.99999999991396	0.019939883223733	1	1	1	1	1	1	1	1	1	0.999999999530523	1	0.999999758331786	1	1	1	1	1	1	1	1	1
mood disorders	1	1	1	0.999999999997462	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999991072723164	1	0.999963952365507	1	1	1	1	1	1	1	1	1	0.999999999999999	1	1	1	1	1	1	1	1	1	1
mucocutaneous lymph node syndrome	1	1	1	1	3.17833083189776e-06	1	1	1	1	2.89908191832352e-13	1	0.999996278020416	1	0.918071732233027	1	1	1	1	1	1	1	1	0.00808336951433097	1	0.00301543049196629	1	1	1	1	1	1	1	1	8.52019851943927e-06	0.0569991623859466	1	0.991046313312997	1	0.948277795431471	0.948277795431471	1	1	0.00754123511205326	1	1	0.999996278020416	1	2.89908191832352e-13	1	1	0.367840707835879	1	1	3.08193625406528e-17	1	1	1	1	1	1	0.999996278020416	0.998973014914746	1	0.834138304514264	1	1	0.995691442063965	1.37143058128132e-13	1	1	1	1	1
multiple sclerosis	1	1	0.738963065633846	3.38158018018229e-284	0.773788977489231	1	1	1	1	4.06911188271341e-95	1	1	1	1.16627694715308e-32	1	1	1	1	1	0.999999999997118	1	1	1	1	1	1	1	1	0.995198395831394	0.999999999999999	1	0.999999999603192	1	1.80563830285013e-217	1.20584430475978e-28	1	0.99632069560029	0.999998962333113	0.225900927792185	0.225900927792185	0.548865218636408	1	3.93434726271402e-19	0.31298967598018	0.221276863855747	1	0.995198395831394	4.06911188271341e-95	0.221276863855747	1	5.74002267566693e-45	8.39516345413446e-320	1.36451060142032e-07	0.999998893646999	1	0.926442243712751	0.916281052960527	1	0.999995840055574	1	1	1	0.999999978952187	0.999999999999974	1	1	0.99332530983717	8.39516345413446e-320	1	1	1	1	1
myocardial infarction	1	1	0.93673924152806	1	2.04462435754442e-10	1	1	1.24573053260898e-178	8.39516345413446e-320	0.999958326060631	1	1	1	1	1	0.866731306512515	1	1	1	0.999999999999928	1	1	1	0.99999998362716	1	1	1	1	1	1	1	1	1	1	1	1	0.999999999999998	1	2.46022050042275e-113	2.46022050042275e-113	0.162025227416792	0.166043665523513	0.999999799294344	0.712563472090194	0.0760805423881617	1	1	0.999958326060631	0.0760805423881617	3.48690381129212e-156	1	1	0.999999924088013	0.00421941371450624	1	0.759316069218945	0.999735386885722	1	1	1	1	3.76814183223337e-11	1	1	1	1	5.11772372015517e-65	1	1	1	1	1	0.989442974476797
myocardial ischemia	1	1	0.999776793315585	1	7.67978004312154e-53	1	1	2.74191064769797e-150	8.39516345413446e-320	0.999933138560149	1	1	1	1	1	0.95653518619892	1	1	1	1	1	1	0.470254012756523	1	0.210544663111208	1	1	1	1	1	1	1	1	1	1	1	1	1	3.35680737780616e-52	3.35680737780616e-52	0.620080397244117	0.53132250343568	1	0.806223854023099	0.715490899618715	1	1	0.999933138560149	0.715490899618715	7.47198902671253e-106	1	1	1	0.00441954899904501	1	0.95780949921441	0.999999998154215	0.999999985065219	1	1	1	3.02700267037947e-27	1	1	1	1	3.15392884047399e-12	1	1	1	1	1	1.76364038896029e-12
obesity	0.568851491678388	1	1	1	0.997673852405179	0.99999999127713	0.795981109945237	0.999994571177089	0.999999839598021	0.999999999996464	1	1	0.999999938882535	1	2.80709613326926e-09	0.853073097879145	1	1	0.996035894125552	8.39516345413446e-320	1	1	1	1	1	1	1	0.011393122383285	0.999999999925904	1	1	0.999999998449585	1	1	0.999941366125998	1	1	0.999999999982511	0.999973377982726	0.999973377982726	1.15221167359405e-10	0.501854207755479	1	0.3314037227781	1	1	0.999999999925904	0.999999999996464	1	0.96475645132228	1	1	0.999963967849638	1	1	0.997571429542031	0.996506220126986	8.39516345413446e-320	1	1	1	0.59713384801424	1	1	1	1	0.999919012315207	1	1	1	1	1	0.943948811082553
obesity, morbid	1	1	1	1	1	1	1	1	0.999878855752305	0.999999356872374	1	1	1	0.999994418070251	0.589813401359387	1	1	1	1	1.02341299590486e-38	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999999999999954	0.999999999999481	1	0.999990796520725	1	1	1	1	1	1	1	1	1	1	0.999999356872374	1	1	0.999999942694392	1	1	0.999999971789954	1	1	1	0.171974169954915	0.993375881300031	1	1	0.997816064821412	1	1	1	1	0.999978055116051	1	1	1	1	1	1
osteoarthritis	1	1	1	1	0.999999974170175	1	1	1	1	0.41966722609337	8.39516345413446e-320	1	1	1	1	0.447196678834978	1	1	1	0.95782497745985	1	0.975603027388215	1	0.994870580006099	1	1	1	1	1	0.999999999999956	1	0.999999999343959	1	0.999999999999955	0.00273605854982661	1	0.999994146966914	1	1.26440326779791e-49	1.26440326779791e-49	0.00251058920736076	1	0.999999999983691	1	1	1	1	0.41966722609337	1	0.971264979750473	1	1	1	0.992055602502366	4.5090079617443e-58	0.921845989977151	1	1	0.999999995597334	1	1	1	0.995107064679207	1	1	1	4.76387459033191e-34	1	0.206581220692117	1	1	1	0.990444754186954
osteoarthritis, knee	1	1	1	1	1	1	1	1	1	0.99999958586279	8.39516345413446e-320	1	1	0.99999989470627	1	0.134349673440972	1	1	1	0.8748365410046	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999999997750761	0.999974821341803	1	0.999980091311369	1	4.77873167032467e-11	4.77873167032467e-11	0.0718398686195594	1	0.999999999999992	1	1	1	1	0.99999958586279	1	0.912984168123806	0.999976026026221	1	1	0.999999964269145	0.000406103824380919	1	1	1	1	1	1	0.999980412713932	0.996139959283343	1	1	1	1.29297740776856e-07	1	1	1	1	1	1
osteoporosis	1	1	1	1	0.999999999368834	1	1	1	1	0.999999999995481	0.928689510334649	1	1	1	1	1	1	0.658292572897458	1	2.13333335003576e-17	1	0.89498679594289	1	0.907536274647382	1	0.867473013948894	1	1	0.999916730046334	1	1	0.999999999660709	1	1	2.10689452861926e-284	0.983651555890356	0.624540920055577	1	1.50154192256981e-39	1.50154192256981e-39	0.00296831412842263	1	0.858526426491295	1	1	1	0.999916730046334	0.999999999995481	1	0.999967828871143	1	1	1	1	8.39516345413446e-320	1	1	0.947745899977782	0.999999997583768	1	1	1	0.999981298605687	0.999999999989216	1	1	1.4267103256828e-36	1	1	1	1	1	0.992033719441953
pancreatitis, chronic	2.73602359841783e-22	1	1	0.914648938647754	1	1	1	1	1	0.87564630045217	1	0.492537428189419	1	0.873785166233826	0.92606257928025	1	1	1	1	0.75677343132772	1	1	1	1	1	1	1	0.120646144060712	1	1	1	1	1	6.19866645177765e-05	0.477711738240022	1	0.696272606389674	1	1	1	1	1	0.958267530195914	1	1	0.492537428189419	1	0.87564630045217	1	1	0.969294937302019	0.999999947532679	1	0.999127030617971	1	1	1	1	1	1	0.492537428189419	1	1	1	1	1	0.529782931577754	0.587215795032549	1	1	1	1	1
panic disorder	1	1	1	1	1	1	1	1	0.999266457628241	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999999997058848	1	1	0.997769306199449	1	1	1	1	1	1	1	1	1	1	1	1	1	0.992556061640285	0.99999999999814	1	0.999999633853228	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
periodontitis	1	1	0.507383394227935	1	0.000506120192850273	1	1	0.960631883878283	1	1.94259365933221e-45	1	0.052669623925449	1	1.15837469666547e-09	0.999999999833621	0.0413479918624253	1	4.66163488118538e-14	1	0.937994822011074	1	8.39516345413446e-320	1	8.39516345413446e-320	1	1.09359425986195e-314	1	1	8.42647017290706e-18	4.4759172259085e-11	1	0.999988934897166	1	1.65396438599283e-82	2.17520668345545e-107	1	4.70097699800524e-07	0.999845817559908	0.184820228762964	0.184820228762964	1	1	3.27728183882014e-11	1	1	0.052669623925449	8.42647017290706e-18	1.94259365933221e-45	1	1	0.419656170487711	1	1	8.39516345413446e-320	1.20705447520884e-31	1	1	1	1	1	0.052669623925449	1	0.999940636532273	0.999989503799341	1	1	0.83861740297062	7.92197127277038e-32	1	1	1	1	1
pre-eclampsia	1	0.337863806204746	0.00614382258987252	0.999999999979746	2.66324972431192e-25	0.956097272951266	1	1	0.9999944231016	0.0555016903725493	1	0.999999999995654	0.939059251799092	0.999932918596704	0.999999999869538	1	1	0.433058240804967	1	0.999989098334977	1	1	1	1	1	1	1	1	0.958334602588051	1	1	1.83818917292381e-09	1	0.999999999999927	1	1	0.999988972354947	1	0.997600949946077	0.997600949946077	1	1	0.999996598441193	1	1	0.999999999995654	0.958334602588051	0.0555016903725493	1	1	2.20906158334819e-16	1	1	0.0133577340906418	0.999999999892698	1	1.82139011611184e-160	1	0.897423546810418	1	0.999999999995654	1	0.999996052901295	0.999998973995669	1	1	0.999768465782386	0.999999999999474	1	1	1	1	0.161986214326151
premature birth	0.0847206889067933	1	6.61407033517204e-08	0.905193079766925	0.593731991743403	0.576490881935067	0.00256925288416629	1	0.996625039541443	0.930150423331041	1	0.99999999999998	1	0.999949221163406	0.999225121781461	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.964001341203016	1	0.824451612585446	1	0.999999065880867	0.999986885155482	1	1	0.912510989882354	0.920991603634648	0.920991603634648	1	0.0317489284803508	0.999999588512566	1	1	0.99999999999998	1	0.930150423331041	1	1	0.961628070241833	0.99999999987167	0.620253968555192	0.984765207887775	1	0.317398290062356	0.0518524536642234	1	1	1	0.99999999999998	1	1	0.310352087239276	1	1	0.982550794177326	0.999999999990907	1	1	1	1	1
primary idiopathic dilated cardiomyopathy	1	1	1	1	0.945978564197232	1	1	1.31451099210055e-32	8.39516345413446e-320	0.999317500343647	1	1	1	0.999158940927193	0.999991488097279	1	1	1	1	0.996461428831472	1	1	1	1	1	1	1	1	1	0.999967664142119	1	0.952681337047147	1	0.999997964167396	0.999999990694509	1	0.917003862292036	1	0.734540269711224	0.734540269711224	0.418297344446752	1	0.999999998214423	1	1	1	1	0.999317500343647	1	2.84418360570056e-14	0.0138360488746442	1	1	0.999999869003185	1	1	1	1	1	1	1	1.84546761972563e-191	0.683396681414087	1	1	1	0.844546858089679	0.199247505672757	1	1	1	1	0.598365240496011
primary ovarian insufficiency	1	1	1	1	1	1	1	1	1	0.877519059728258	1	0.001921374542078	1	0.734435634396298	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.665597954119111	0.996726834233585	1	1	1	0.302503594701494	0.302503594701494	1	1	0.982054652120311	1	1	0.001921374542078	1	0.877519059728258	1	1	0.463164776732971	0.999999999903839	1	1	1	1	0.00430065614029218	1	1	1	0.001921374542078	1	1	1	1	1	0.60224870050883	0.932496223070339	1	1	1	1	1
psoriasis	1	1	1	1	0.999584593220163	1	1	1	1	6.41616293977288e-40	1	5.33789977502853e-306	0.971005179947001	1.030265667298e-158	0.999999999999995	1	1	1	1	0.999996981138999	1	1	1	1	1	0.391132652769337	1	1	9.53774061619297e-152	8.39516345413446e-320	1	0.999992758735792	1	0.0552996543823042	0.916848378408848	1	4.83380793591628e-27	7.10999523911679e-19	0.999993972069864	0.999993972069864	1	1	7.87483668323374e-08	1	1	5.33789977502853e-306	9.53774061619297e-152	6.41616293977288e-40	1	0.999010576768229	3.12786412492871e-13	1	1	1.1691292785721e-163	0.999999991687829	0.827608868101378	1	1	0.99691402066088	1	5.33789977502853e-306	1	1.06243001407069e-57	0.999999829587405	1	1	0.999999510931686	8.39516345413446e-320	1	1	1	1	1
pulmonary disease, chronic obstructive	0.390953130197585	2.02432103724117e-13	1	1	0.955853779357334	2.10379196223443e-81	5.9918649327634e-19	1	0.999912388196725	0.925866650539223	1	1	0.986534688731186	0.97268297480213	0.999999999996268	1	1	1	1	0.999999909297947	1	1	1	1	1	1	1	1	0.981834764690548	0.999999999999685	1	0.999999980281189	1	1	1.95857094308988e-49	1	0.239330176488944	1	0.992678623112641	0.992678623112641	0.778760863123636	1	1	1	0.515373198838436	1	0.981834764690548	0.925866650539223	0.515373198838436	0.990074195905388	0.999999154873237	1	1	8.16513779831701e-179	1	0.882206074835781	1	1	1	1	1	0.0125350657065575	0.999999903362432	2.53562271080233e-170	1	0.00290504849218042	0.999994621686029	0.999988971623693	1	1	4.00895903725032e-07	1	0.810693738292642
retinal diseases	1	0.821024552997399	1	7.76324824309656e-07	3.45130778632642e-37	0.999997837446688	1	1	1	1	1	1	0.00429126079188646	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99999997810025	1	1	1	0.300636941710609	1	1	1	1	0.00480151871748571	0.999999999995479	0.999999999995479	0.983240383072936	1	1	1	1	1	0.99999997810025	1	1	0.999999999876448	1	8.39516345413446e-320	0.500286650150859	1	1	2.13837741508957e-156	1	0.998511143900555	1	2.99646097355875e-94	1	1	0.000938295561213928	1	1	1	1	1	1	0.0740324799350273	1	1	0.999967419419006
sarcoidosis	1	1	1	0.999999994558935	1	0.311026359971478	1	1	0.999999997753377	7.02244584361508e-51	0.999954893337854	1	1	0.058252496547857	0.999999999935645	1	1	1	1	1	1	1	1	1	1	1	1	1	1.15014800405887e-06	0.999999130768592	1	0.999968861098094	1	3.50280021643698e-12	2.79716408158426e-284	1	0.00925281190382134	0.996929237045524	1	1	1	1	1.53503049067497e-09	1	1	1	1.15014800405887e-06	7.02244584361508e-51	1	1	0.177023392717979	1	1	6.10012909491727e-09	1	0.713777964777119	1	1	1	1	1	0.999999485663856	1	0.0527448530235394	1	1	0.999999999988749	1.67175743766917e-178	1	1	1	1	1
schizophrenia	1	1	1	0.582801579067854	1	1	1	1	1	1	1	1	0.999958626931487	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999999999999999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6.86339986116499e-10	0.501924978795955	1	1	1	1	1	0.999999999972115	1	1	1	0.999999978051642	1	1	1	1	1	1	1	1	1	1
scleroderma, systemic	1	1	1	1	2.80459137174894e-07	0.647588939521828	1	0.671056933440269	0.990508250712513	7.35520952682756e-17	0.996560660267622	0.936933060487552	0.86158675927256	0.401188352016603	0.999998102203715	0.0223540736357558	0.100822622470615	1	1	0.999499230226984	1	1	1	1	1	1	0.017668763691786	1	0.0657603794567288	0.254755177023522	1	0.961533340342124	1	1.3510512717163e-27	0.989381531454097	1	3.05256953758555e-18	0.870762227746749	0.0143042359041839	0.0143042359041839	1	1	4.58472170842246e-05	1	1	0.936933060487552	0.0657603794567288	7.35520952682756e-17	1	0.979017095652037	0.0415965556778806	1	1	1.06059568630463e-10	1	0.00053529778926371	1	0.667976704952963	0.861170530832543	1	0.936933060487552	0.998570738215201	8.39516345413446e-320	0.294184645300745	1	1	0.070034517478447	1.88514438046237e-55	1	1	1	1	0.728163718380363
sleep apnea, obstructive	1	1	1	0.999930117193164	5.55922157109433e-06	1	1	1	0.999916123956004	0.985602297791889	1	1	1	1	1	1	1	1	1	0.166711063245859	1	1	1	1	1	1	1	1	1	1	1	0.996600332579878	1	0.999999999997986	1	1	1	1	0.995332357517054	0.995332357517054	1	1	0.999999999999947	1	1	1	1	0.985602297791889	1	0.932570245802924	0.999999377246236	0.999999999993177	1	0.998626186508112	0.999850902832318	1	1	1	1	1	1	0.752270983266813	1	0.988400745704724	1	1	0.999888983480288	1	1	1	1	1	1
spondylitis, ankylosing	1	1	1	1	1	1	1	1	0.999991132646596	0.0735033544401784	0.915897210959015	1	1	0.533271344159111	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00262371121253969	0.992329741867076	1	0.999930562371904	0.988253287332648	0.945755469493802	0.945755469493802	1	1	0.987657796104303	1	1	1	1	0.0735033544401784	1	1	0.227228992281197	1	1	0.187201237974736	0.598590741345592	1	1	1	1	1	1	0.999996492891157	1	1	1	1	0.999538825244042	4.34835641644588e-18	1	1	1	1	1
stroke	1	1	0.924756486889391	2.16717756705709e-160	2.42383625999241e-08	1	1	0.999992640548048	1	0.999999999999593	1	1	1	1	1	1	1	1	1	0.999999999947302	1	1	1	1	1	1	1	1	0.999999984201977	1	1	0.999999999999999	1	1	1	1	1	1	3.81998598157279e-11	3.81998598157279e-11	0.686811064992618	1	1	1	0.00182558710206312	1	0.999999984201977	0.999999999999593	0.00182558710206312	0.999999946638461	1	7.73292920340437e-161	6.2932394185521e-57	0.999999992508185	1	3.37616086389917e-07	1	1	0.999999999999975	1	1	1	1	1	1	1	2.18528758616195e-14	1	1	1	1	1	0.990498416583305
sudden infant death	1	1	1	0.000175581481343663	1	0.598277886462917	1	0.246894436722434	0.220507021282882	0.999709692773105	1	1	1	0.992815971079599	1	1	1	1	1	0.983869188425274	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999998225958477	0.984131611229994	1	0.00104967467789636	0.924679258161539	1	1	1	1	0.999999999998239	1	1	1	1	0.999709692773105	1	1	1	9.78158378664743e-11	1	0.999999725344644	1	1	1	1	1	1	1	0.888393742013629	0.702439998774554	0.359302304711693	1	1	1	1	1	1	0.0823175994100647	1	1
tobacco use disorder	1	0.127740371583241	1	1	1	1	1	1	1	0.999998914151399	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999999999994063	0.999999999999532	1	1	1	1	1	1	1	1	1	1	1	1	0.999998914151399	1	1	0.999990392081174	0.99999999971573	1	0.999999999928482	0.999504271588501	1	1	1	1	1	1	1	1	0.996007380626449	1	1	1	1	1	1	1	1	1
tuberculosis	1	0.0239630435127844	1	1	1	0.978264734208544	1	1	1	1.32578545411303e-05	1	1	1	0.291855647166001	1	1	1	1	0.999982925920269	1	1	1	1	1	1	1	1	1	0.998872952857211	1	1	1	1	1	1.09406793192328e-157	1	1	1	1	1	0.998738234118474	1	1	1	1	1	0.998872952857211	1.32578545411303e-05	1	1	0.999999990912127	1	1	0.999999971608907	1	1	1	0.999975763422323	1	1	1	1	1	0.816920247241567	1	1	1	2.80288213230079e-187	1	1	0.999984331718355	1	1
tuberculosis, pulmonary	1	0.0301187873253663	1	1	1	0.516104621132959	1	1	1	0.0133326391378572	1	1	1	0.999949211433417	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999903762726232	1	1	1	1	0.999999856261864	1.47194362407444e-12	1	1	1	1	1	1	1	1	1	1	1	0.999903762726232	0.0133326391378572	1	1	0.996320994458312	1	1	0.616953589051569	1	1	1	1	0.999999999995374	1	1	1	1	0.242793800434991	1	1	1	2.29799912842831e-41	1	1	1	1	1
venous thromboembolism	1	1	1	1	0.889597414404511	1	1	1	1	0.999431335398175	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.896500821410723	1	1	0.999999999997164	1	1	1	1	1	1	1	0.99999999990234	1	1	1	1	0.999431335398175	1	1	0.998951018904096	1	1	0.998006167848697	1	1	1	1	1	1	1	1	1	0.962358554741466	1	1	1	1	1	1	1	1	1
vitiligo	1	1	0.11247103899842	1	1	1	1	1	1	0.727626487298567	1	8.39516345413446e-320	1	5.63002601404424e-29	1	0.0524821088822738	1	1	1	1	1	1	1	1	1	1	1	1	4.90241977211946e-49	1.08151269108496e-126	1	1	1	0.163486650658235	0.999863353070516	1	0.76819117057663	8.39516345413446e-320	0.720807756594098	0.720807756594098	1	1	0.999907811324951	1	1	8.39516345413446e-320	4.90241977211946e-49	0.727626487298567	1	1	0.00272546107575529	0.999999999345375	1	0.999900259569631	1	1	0.19775188101292	1	1	1	8.39516345413446e-320	1	0.343820722479676	0.765526921225975	1	1	0.946916863608755	4.10954421476927e-45	1	1	1	1	1
